,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,cage,Alias,Alias2
sample987,987,FMT-OY-D7-W1-1,2,2,7,7,NA,1,NA,18,OY,W1,NA,NA,NA,NA,NA,NA,121,W,FMT-UM,
sample988,988,FMT-OY-D7-W2-1,2,2,7,7,NA,1,NA,18,OY,W2,NA,NA,NA,NA,NA,NA,122,W,FMT-UM,
sample989,989,FMT-OY-D7-W3-1,2,2,7,7,NA,1,NA,18,OY,W3,NA,NA,NA,NA,NA,NA,123,W,FMT-UM,
sample990,990,FMT-OY-D7-W4-1,2,2,7,7,NA,1,NA,18,OY,W4,NA,NA,NA,NA,NA,NA,124,W,FMT-UM,
sample991,991,FMT-OY-D7-W5-1,2,2,7,7,NA,1,NA,18,OY,W5,NA,NA,NA,NA,NA,NA,125,W,FMT-UM,
sample997,997,FMT-OO-D7-J1-1,18,2,7,7,NA,1,NA,18,OO,J1,NA,NA,NA,NA,NA,NA,126,J,FMT-M,
sample998,998,FMT-OO-D7-J2-1,18,2,7,7,NA,1,NA,18,OO,J2,NA,NA,NA,NA,NA,NA,127,J,FMT-M,
sample999,999,FMT-OO-D7-J3-1,18,2,7,7,NA,1,NA,18,OO,J3,NA,NA,NA,NA,NA,NA,128,J,FMT-M,
sample1000,1000,FMT-OO-D7-J4-1,18,2,7,7,NA,1,NA,18,OO,J4,NA,NA,NA,NA,NA,NA,129,J,FMT-M,
sample1001,1001,FMT-OO-D7-J5-1,18,2,7,7,NA,1,NA,18,OO,J5,NA,NA,NA,NA,NA,NA,130,J,FMT-M,
sample1002,1002,K1,18,2,7,7,NA,1,1,18,OO,K1,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1003,1003,K2,18,2,7,7,NA,1,1,18,OO,K2,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1004,1004,K3,18,2,7,7,NA,1,1,18,OO,K3,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1005,1005,K4,18,2,7,7,NA,1,1,18,OO,K4,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1006,1006,K5,18,2,7,7,NA,1,1,18,OO,K5,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
